prompt_id,prompt,accuracy,recall,precision,f1_score,resampling_iteration,ds_training_samples
0,What is the emotion of the following text?,0.935,0.15625,0.2127659574468085,0.18018018018018014,14,100
1,List the emotions of the following text,0.9346428571428571,0.1484375,0.20430107526881722,0.17194570135746606,7,100
2,Say what the emotions in the following text are,0.9285714285714286,0.140625,0.16666666666666666,0.15254237288135594,7,100
3,What are the emotions of the following text?,0.9253571428571429,0.1484375,0.15966386554621848,0.15384615384615385,7,100
4,Which are the emotions present in the following text?,0.9367857142857143,0.171875,0.23655913978494625,0.1990950226244344,7,100
5,Write a list of all the emotions in the following text,0.9321428571428572,0.09375,0.13953488372093023,0.11214953271028039,14,100
6,"Write all the emotions in the following text, include synonyms which are nouns and be repetitive",0.9332142857142857,0.1171875,0.16853932584269662,0.1382488479262673,7,100
7,Write all nouns describing the emotions in the following text,0.9446428571428571,0.046875,0.15384615384615385,0.0718562874251497,7,100
8,"Write all the emotions present in the following text. You can only use the following words: admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, nervousness, neutral, optimism, pride, realization, relief, remorse, sadness, surprise",0.5685714285714286,0.4765625,0.050748752079866885,0.09172932330827069,7,100
9,"Write all the emotions present in the following text. Do not write emotions that are not present. You can only use the following words: admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, nervousness, neutral, optimism, pride, realization, relief, remorse, sadness, surprise",0.5317857142857143,0.53125,0.05155420773313116,0.0939875604699378,27,100
10," The emotions present in the text are joy, sadness, and fear.",0.9071428571428571,0.109375,0.0875,0.09722222222222224,14,100
11," The text radiates a mix of emotions, including delight, sorrow, and apprehension.B:  The tone of the passage is characterized by a blend of happiness, melancholy, and trepidation.C:  The feelings conveyed in the writing are glee, sorrow, and dread.D:  The emotional undercurrent of the text is a combination of joy, sadness, and anxiety.",0.9382142857142857,0.0546875,0.11864406779661017,0.0748663101604278,7,100
12," The emotions of the following text are anger, sadness, and fear.",0.9139285714285714,0.0859375,0.08148148148148149,0.08365019011406845,14,100
13, Sure! Here is the rewritten text using only the words you provided:,0.9528571428571428,0.0234375,0.3,0.043478260869565216,7,100
14," The emotions present in the following text are anger, frustration, and sadness.",0.9189285714285714,0.0859375,0.09090909090909091,0.08835341365461848,2,100
15," Correct! The sentence ""The text radiates a mix of emotions"" can be rewritten as ""The tone of the passage is characterized by a blend of happiness, melancholy, and trepidation.""",0.9475,0.0390625,0.1724137931034483,0.06369426751592357,2,100
16," The emotions expressed in the text are sadness, fear, and anger.",0.9089285714285714,0.109375,0.09032258064516129,0.0989399293286219,26,100
17,"1. The narrator of ""The Yellow Wallpaper"" is feeling hopeless and desperate as she lies in bed, unable to move or do anything but stare at the yellow wallpaper.2. The speaker in ""The Love Song of J. Alfred Prufrock"" is experiencing a mix of anxiety and self-consciousness as he stands at his window, watching people passing by on the street below.3. In ""The Raven,"" the narrator is feeling melancholy and isolated as he sits alone in his chamber, listening to the raven's mournful cries.",0.925,0.0234375,0.03409090909090909,0.027777777777777776,18,100
18," “The teacher asked me why I was so sad, and I told him that my dog had died. He gave me a hug and said ‘Sorry to hear that’.”",0.945,0.0078125,0.03571428571428571,0.01282051282051282,7,100
